Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
WWT Plant,WWT,Des_Cap,Design capacity of the WWT plant,220,Million Liter/day,4,,,,5,2000,,"220 million L/day (~60 MG/day) is capacity for Neuse WWT plant in Raleigh, NC."
Screen Rejects,Screen,frac_sr-grit,Mass fraction influent into screen rejects and grit,0.001,fraction,,,,,,,,
Screen Rejects,Screen,sol_cont_sr_grit,Solids content of the screen rejects and grit,0.6,fraction,,,,,,,,
Primary Settling,PrimSet,is_prim_set,Is there primary settling,1,"1:TRUE,0:FALSE",,,,,,,n/a,User should update based on process design
Primary Settling,PrimSet,frac_prim_solids,Mass fraction influent into settling that exits in the solids,0.01,fraction,,,,,,,,
Primary Settling,PrimSet,sol_cont_prim_solids,Solids content of primary solids - wet,0.03,fraction,,,,,,,,
Biological Treatmet,BioTrtmnt,sol_cont,Mixed liquor suspended solids (MLSS),3000,mg/L,4,,,,1000,5000,,
Biological Treatmet,BioTrtmnt,C_cont,Carbon content of the MLSS,0.5,kg TS/kg ,,,,,,,,
Biological Treatmet,BioTrtmnt,VS_cont,VS content of the MLSS - dry,0.8,kg VSS/kg TS,,,,,,,,
Thickening,Thick,is_prim_thick,Does primary sludge go to thickening,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Thickening,Thick,is_sec_thick,Does secondary sludge go to thickening,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Thickening,Thick,sol_cont_thick,Solids content after thickening,0.065,fraction,,,,,,,,
Dewatering,Dew,is_sol_dew,Are solids dewatered,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Dewatering,Dew,sol_cont_dewat,Solids content of dewatered solids ,0.2,kg TS/kg,,,,,,,,
Secondary Settling,SecSet,is_sec_set,Is there secondary settling,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Secondary Settling,SecSet,frac_sec_solids,Mass fraction influent into settling that exits in the solids,0.01,fraction,,,,,,,,
Drying,Dry,is_sol_dry,Are solids dried,1,"1:TRUE,0:FALSE",,,,,,,n/a,User input based on treatment process. 
Drying,Dry,sol_cont_dry,Solids content of dried solids ,0.95,kg TS/kg,,,,,,,,
Drying,Dry,frac_PFAS_to_Vol,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (WWT),2.19,log L/kg OC,5,2.19,,,1.3,4.5,[20][21][22][23],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (WWT),3.04,log L/kg OC,5,3.04,,,2.4,4.7,[20][21][22][23],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (WWT),1.88,log L/kg OC,4,,,,1.3,1.88,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (WWT),1.37,log L/kg OC,,,,,,,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (WWT),1.77,log L/kg OC,5,1.77,,,1.31,2.1,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (WWT),1.97,log L/kg OC,,,,,,2.19,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (WWT),2.63,log L/kg OC,5,2.63,,,2.3,3.18,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (WWT),3.24,log L/kg OC,5,3.24,,,2.65,3.78,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (WWT),1.51,log L/kg OC,,,,,,1.79,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (WWT),2.79,log L/kg OC,5,2.79,,,2.05,2.875,[20],"Assume same partitioning behavior as sediments. Default from Higgins (2006), range estimated based on multiple other sources. "
